st,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NC,120078113.82267788,119383133.31574656,127302985.46458794,119963704.21673207,109853338.60637559,86135476.4634428,57202096.53564917,60021269.98324472,51190020.77207746,47082051.09877087,42289496.533486195,42902448.68842045,40643868.57686477,39198634.144842386,39454627.971695706,39968480.06067503
ND,14484861.443169791,14472009.755518122,13994838.461787745,13607158.094719231,13818534.954516275,14750002.33171291,13274621.669920057,13678929.326317348,14411449.085375663,34700931.61500038,34960210.16728767,39317899.15450556,36146679.02887971,28173347.79472028,25818535.55679269,25475946.96854825
NE,38046710.835394405,36238657.57657658,33826370.226428926,30251834.196480904,26677648.257254127,30782704.777516235,26931771.861553647,28653575.791442547,24340806.91020585,21325111.04215664,23820116.540453766,23289783.95325949,19109388.577178486,15949273.303167272,13713681.612040224,14684843.841116842
NH,5508164.019483617,4698031.365644306,4888849.523531392,4106742.1239091144,3968373.8989735595,2818398.900690499,2688385.407050963,3108911.6861021356,2059040.3895162586,691825.1358186438,608015.952534053,457321.80683093163,327412.9648989985,171314.2048526,144256.2842378,200842.56126358474
NJ,17411508.334630102,18128631.813125703,20177861.737492915,18185910.022879362,17127971.19038576,15973197.817769114,10722110.07351616,13123663.889621658,11184712.793593554,8583289.446482912,7727112.617481566,7755455.1493172515,7230739.488372338,6132694.201905985,5566135.604356022,6021140.0099296775
NM,19224559.76122492,11017572.403732298,13407985.387024892,23634287.474497024,18072523.442018416,18254887.825278424,14747721.81683959,11949409.57830466,13959761.488987148,23923939.529737204,22033639.438147493,19618331.32800406,19389803.67026375,16204933.762554882,14948328.858885802,15587171.683102505
NV,402582761.5000315,268067474.50913587,326097315.27864146,217595543.03040215,199638668.6431216,205872572.05980697,240681919.3433544,386951721.8395928,532698776.07946736,280830915.85801196,366389911.47406864,282007586.0945161,318709415.42109424,309049868.05419785,392840010.8654293,335480562.4327828
NY,38834676.82686922,35450234.081508175,32986880.620270897,29228039.47434603,28605033.359268054,24849751.559642807,18178588.625490326,16138979.811812505,13876166.723006312,13918246.35534341,13458879.565023154,17829063.833392553,19815661.642348435,15809234.160267074,17669020.363770444,14980299.965919677
OH,236905851.02790922,207076492.7447361,220580369.29424894,230460820.49422544,221409789.51372427,181020608.39181027,130776551.24156852,121453641.68347792,112673577.06029515,92588431.7855591,96875649.62801872,91429158.5389533,84697656.81581372,75808499.64045514,89172836.07000804,85826301.84054755
OK,25474122.01177307,24970787.24728917,23656046.1197725,25695595.373816878,27323262.342480823,30288128.870466154,30965703.385686215,36015187.650118515,38849626.82336384,64640583.30160904,27370770.232319847,24827563.46665394,25058281.161901057,27684235.19668295,27616730.54519068,28905952.15221661
OR,38618032.7703756,35370327.97019553,25917568.2827659,25301888.016927212,23940579.44446545,20129496.98568349,14649019.054999327,16998706.014459994,20699324.438185308,22504711.860081207,17118687.34477184,16081802.228724545,15704512.463460825,15731194.32663957,17018944.668852817,13292010.655533856
PA,114756747.77620392,112903237.68075964,110867919.54284048,103900230.18859701,100438230.05126205,96869056.62105076,72874279.44450547,63775150.338636465,55180556.32885836,51405289.251514174,49435950.24714355,47496252.49825613,38666850.756237075,33787402.37228645,34109702.53988656,34810821.442699626
