region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
MW,26761.25520067608,26468.952900389926,27195.253060091905,27221.40301034281,26596.543709149424,24578.75845990159,20513.10593558365,20946.148238657945,19838.94737968643,19259.228257601302,20149.14630877612,19542.779857897232,19086.090231153164,17310.792814598877,17337.55123024308,18026.48367654714
NE,13895.666868071145,13885.968786518375,14070.903055813886,13415.57419105746,13469.151950983123,12932.805815406353,10413.19616605152,9824.245727891908,8570.705217999803,8046.7684512641445,7825.819998969254,8022.420903853194,7515.213480756772,6659.280999001444,7319.681186607793,7158.853070281607
S,40205.43074636542,41591.251228973284,41353.97844620993,39327.191941295976,38214.759625536666,35542.038072576455,31800.926144525427,32150.639362077727,30207.52028677629,30025.489218535353,28537.87882572691,28884.424345241536,27058.852644381015,26318.901056966075,25952.69156285708,27199.1353996988
W,84740.60608036465,67250.01817638167,72029.80869086835,67461.0836854064,65599.95260774848,71401.29116878464,65819.69295899544,84958.64652235688,102471.44595126383,74673.18773541923,112951.82470614956,74821.53005366557,84501.51567291841,91074.84463728077,102089.55214109774,101184.10406596518
US,37134.20890566287,35551.14048618239,36394.07659995702,35088.90052751729,34254.911018341074,33218.37097293583,29415.85585301471,31972.853803932976,32906.99068357126,29209.157136028258,33791.5173343229,28929.583516791343,29190.819982524063,29144.81631967867,30533.263652276146,31251.626138185213
