region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
MW,26761.25520067608,26468.952900389926,27195.253060091905,27221.40301034281,26596.543709149424,24578.75845990159,20513.10593558365,20946.148238657945,19838.94737968643,19259.228257601302,20149.14630877612,19542.779857897232,19086.090231153164,17310.792814598877,17337.55123024308,18026.48367654714
NE,13895.666868071145,13885.968786518375,14070.903055813886,13415.57419105746,13469.151950983123,12932.805815406353,10413.19616605152,9824.245727891908,8570.705217999803,8046.7684512641445,7825.819998969254,8022.420903853194,7515.213480756772,6659.280999001444,7319.681186607793,7158.853070281607
S,40205.43074636542,41591.251228973284,41353.97844620993,39327.191941295976,38214.759625536666,35542.038072576455,31800.926144525427,32150.639362077727,30207.52028677629,30025.489218535353,28537.87882572691,28884.424345241536,27058.852644381015,26318.901056966075,25952.69156285708,27199.1353996988
W,127190.51737717028,107842.82422788763,115734.14748090462,121139.21362043112,113080.28706746495,118549.0879464283,127114.58706612908,160208.88709939155,197659.60579904396,151789.28394127186,198048.44116103483,180242.69810918684,138188.44010794017,166216.07752933755,207315.7144944128,187494.63829896407
US,42301.8934710984,40519.33390353755,41817.53607188981,41859.23918658732,40246.35154877173,39168.934088877744,37220.27277114724,41436.634851354574,44903.349233644745,39033.63375963192,44664.35408064541,42402.98228003316,35991.99739408242,38766.374979744265,43994.28464112351,42388.49598597734
